data_file,solution,stats,TOTAL_TIME,solver,model
ins-1,"{'width': 8, 'n_circuits': 4, 'dims': [[5, 5], [3, 5], [5, 3], [3, 3]], 'widths': [5, 3, 5, 3], 'heights': [5, 5, 3, 3], 'x': [0, 5, 0, 5], 'y': [3, 3, 0, 0], 'min_makespan': 8, 'max_makespan': 8, 'makespan': 8}","{'paths': 0, 'flatBoolVars': 24, 'flatIntVars': 15, 'flatBoolConstraints': 6, 'flatIntConstraints': 35, 'evaluatedReifiedConstraints': 24, 'flatTime': 0.0431464, 'nodes': 6, 'failures': 0, 'restarts': 1, 'variables': 272, 'intVars': 27, 'boolVariables': 243, 'propagators': 64, 'propagations': 149, 'peakDepth': 5, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.0, 'initTime': 0.0, 'solveTime': 0.0, 'objective': 8, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,base
ins-10,"{'width': 17, 'n_circuits': 12, 'dims': [[4, 14], [7, 6], [4, 8], [3, 9], [3, 8], [3, 7], [7, 3], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 7, 4, 3, 3, 3, 7, 3, 3, 3, 4, 3], 'heights': [14, 6, 8, 9, 8, 7, 3, 6, 5, 4, 3, 3], 'x': [3, 7, 10, 14, 14, 0, 7, 0, 7, 0, 3, 7], 'y': [0, 3, 9, 8, 0, 6, 0, 0, 12, 13, 14, 9], 'min_makespan': 17, 'max_makespan': 18, 'makespan': 17}","{'paths': 0, 'flatBoolVars': 264, 'flatIntVars': 47, 'flatBoolConstraints': 66, 'flatIntConstraints': 291, 'evaluatedReifiedConstraints': 264, 'flatTime': 0.0495332, 'nodes': 245, 'failures': 167, 'restarts': 2, 'variables': 1988, 'intVars': 80, 'boolVariables': 1906, 'propagators': 568, 'propagations': 40164, 'peakDepth': 24, 'nogoods': 167, 'backjumps': 37, 'peakMem': 0.0, 'time': 0.01, 'initTime': 0.004, 'solveTime': 0.006, 'objective': 17, 'optTime': 0.006, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.07,Chuffed,base
ins-11,"{'width': 18, 'n_circuits': 16, 'dims': [[3, 11], [3, 10], [5, 6], [5, 5], [3, 8], [4, 6], [3, 7], [4, 5], [5, 4], [3, 6], [4, 4], [3, 5], [5, 3], [3, 4], [4, 3], [3, 3]], 'widths': [3, 3, 5, 5, 3, 4, 3, 4, 5, 3, 4, 3, 5, 3, 4, 3], 'heights': [11, 10, 6, 5, 8, 6, 7, 5, 4, 6, 4, 5, 3, 4, 3, 3], 'x': [9, 12, 4, 0, 12, 0, 9, 5, 4, 15, 0, 15, 4, 15, 0, 15], 'y': [0, 0, 12, 7, 10, 12, 11, 7, 3, 3, 3, 9, 0, 14, 0, 0], 'min_makespan': 18, 'max_makespan': 23, 'makespan': 18}","{'paths': 0, 'flatBoolVars': 480, 'flatIntVars': 63, 'flatBoolConstraints': 120, 'flatIntConstraints': 515, 'evaluatedReifiedConstraints': 480, 'flatTime': 0.0538482, 'nodes': 31780, 'failures': 26700, 'restarts': 6, 'variables': 3324, 'intVars': 104, 'boolVariables': 3218, 'propagators': 1012, 'propagations': 8780182, 'peakDepth': 65, 'nogoods': 26700, 'backjumps': 4762, 'peakMem': 0.0, 'time': 1.496, 'initTime': 0.006, 'solveTime': 1.49, 'objective': 18, 'optTime': 1.487, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",1.57,Chuffed,base
ins-12,"{'width': 19, 'n_circuits': 14, 'dims': [[3, 19], [3, 13], [3, 11], [4, 8], [3, 10], [3, 9], [3, 8], [4, 6], [3, 7], [4, 5], [3, 6], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3], 'heights': [19, 13, 11, 8, 10, 9, 8, 6, 7, 5, 6, 5, 4, 3], 'x': [6, 13, 3, 9, 0, 0, 16, 12, 16, 9, 9, 3, 16, 3], 'y': [0, 0, 8, 5, 0, 10, 11, 13, 4, 0, 13, 3, 0, 0], 'min_makespan': 19, 'max_makespan': 24, 'makespan': 19}","{'paths': 0, 'flatBoolVars': 364, 'flatIntVars': 55, 'flatBoolConstraints': 91, 'flatIntConstraints': 395, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.0511817, 'nodes': 779, 'failures': 380, 'restarts': 6, 'variables': 2969, 'intVars': 95, 'boolVariables': 2872, 'propagators': 774, 'propagations': 120233, 'peakDepth': 66, 'nogoods': 380, 'backjumps': 153, 'peakMem': 0.0, 'time': 0.019, 'initTime': 0.005, 'solveTime': 0.014, 'objective': 19, 'optTime': 0.014, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.08,Chuffed,base
ins-13,"{'width': 20, 'n_circuits': 14, 'dims': [[4, 17], [3, 17], [4, 11], [4, 9], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [17, 17, 11, 9, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [6, 10, 13, 16, 17, 0, 13, 3, 3, 0, 3, 0, 9, 6], 'y': [0, 0, 0, 11, 0, 10, 11, 0, 13, 4, 8, 0, 17, 17], 'min_makespan': 20, 'max_makespan': 25, 'makespan': 20}","{'paths': 0, 'flatBoolVars': 364, 'flatIntVars': 55, 'flatBoolConstraints': 91, 'flatIntConstraints': 395, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.0505262, 'nodes': 3184, 'failures': 2142, 'restarts': 6, 'variables': 3071, 'intVars': 94, 'boolVariables': 2975, 'propagators': 774, 'propagations': 590686, 'peakDepth': 47, 'nogoods': 2142, 'backjumps': 815, 'peakMem': 0.0, 'time': 0.068, 'initTime': 0.005, 'solveTime': 0.063, 'objective': 20, 'optTime': 0.063, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.13,Chuffed,base
ins-14,"{'width': 21, 'n_circuits': 15, 'dims': [[5, 15], [3, 18], [4, 11], [3, 14], [3, 10], [5, 6], [3, 9], [3, 8], [4, 6], [3, 7], [3, 6], [4, 4], [3, 5], [3, 4], [3, 3]], 'widths': [5, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3], 'heights': [15, 18, 11, 14, 10, 6, 9, 8, 6, 7, 6, 4, 5, 4, 3], 'x': [7, 18, 0, 4, 15, 7, 12, 12, 0, 4, 15, 0, 15, 12, 18], 'y': [0, 3, 10, 7, 5, 15, 4, 13, 4, 0, 15, 0, 0, 0, 0], 'min_makespan': 21, 'max_makespan': 26, 'makespan': 21}","{'paths': 0, 'flatBoolVars': 420, 'flatIntVars': 59, 'flatBoolConstraints': 105, 'flatIntConstraints': 453, 'evaluatedReifiedConstraints': 420, 'flatTime': 0.052174599999999995, 'nodes': 921, 'failures': 283, 'restarts': 6, 'variables': 3449, 'intVars': 102, 'boolVariables': 3345, 'propagators': 889, 'propagations': 130839, 'peakDepth': 101, 'nogoods': 283, 'backjumps': 308, 'peakMem': 0.0, 'time': 0.017, 'initTime': 0.006, 'solveTime': 0.011, 'objective': 21, 'optTime': 0.011, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.08,Chuffed,base
ins-15,"{'width': 22, 'n_circuits': 16, 'dims': [[4, 19], [3, 22], [3, 14], [3, 13], [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [6, 4], [3, 7], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 4, 3], 'heights': [19, 22, 14, 13, 12, 11, 10, 9, 8, 4, 7, 6, 5, 4, 3, 3], 'x': [9, 13, 3, 16, 19, 6, 19, 0, 0, 3, 6, 16, 0, 3, 9, 16], 'y': [0, 0, 4, 9, 10, 7, 0, 8, 0, 18, 0, 3, 17, 0, 19, 0], 'min_makespan': 22, 'max_makespan': 27, 'makespan': 22}","{'paths': 0, 'flatBoolVars': 480, 'flatIntVars': 63, 'flatBoolConstraints': 120, 'flatIntConstraints': 515, 'evaluatedReifiedConstraints': 480, 'flatTime': 0.053355, 'nodes': 411, 'failures': 102, 'restarts': 6, 'variables': 3858, 'intVars': 110, 'boolVariables': 3746, 'propagators': 1012, 'propagations': 55677, 'peakDepth': 65, 'nogoods': 102, 'backjumps': 63, 'peakMem': 0.0, 'time': 0.012, 'initTime': 0.007, 'solveTime': 0.005, 'objective': 22, 'optTime': 0.005, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.08,Chuffed,base
ins-16,"{'width': 23, 'n_circuits': 19, 'dims': [[3, 20], [4, 12], [4, 11], [3, 14], [4, 10], [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [4, 6], [3, 7], [3, 6], [6, 3], [4, 4], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 6, 4, 3, 3, 4, 3], 'heights': [20, 12, 11, 14, 10, 12, 11, 10, 9, 8, 6, 7, 6, 3, 4, 5, 4, 3, 3], 'x': [9, 16, 16, 6, 12, 0, 3, 20, 3, 0, 12, 20, 20, 0, 12, 6, 6, 12, 9], 'y': [3, 11, 0, 9, 13, 0, 0, 13, 11, 12, 7, 0, 7, 20, 0, 4, 0, 4, 0], 'min_makespan': 23, 'max_makespan': 33, 'makespan': 23}","{'paths': 0, 'flatBoolVars': 684, 'flatIntVars': 75, 'flatBoolConstraints': 171, 'flatIntConstraints': 725, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.0575768, 'nodes': 169337, 'failures': 150137, 'restarts': 11, 'variables': 5423, 'intVars': 126, 'boolVariables': 5295, 'propagators': 1429, 'propagations': 43457158, 'peakDepth': 94, 'nogoods': 150137, 'backjumps': 18533, 'peakMem': 0.0, 'time': 9.134, 'initTime': 0.009000000000000001, 'solveTime': 9.125, 'objective': 23, 'optTime': 9.12, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",9.21,Chuffed,base
ins-17,"{'width': 24, 'n_circuits': 18, 'dims': [[5, 16], [3, 24], [3, 18], [4, 12], [3, 14], [5, 8], [3, 12], [3, 10], [3, 9], [3, 8], [3, 7], [4, 5], [3, 6], [4, 4], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [5, 3, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [16, 24, 18, 12, 14, 8, 12, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [13, 21, 3, 9, 6, 16, 0, 6, 18, 13, 18, 9, 3, 9, 0, 0, 9, 0], 'y': [0, 0, 6, 3, 0, 16, 12, 14, 0, 16, 9, 19, 0, 15, 0, 5, 0, 9], 'min_makespan': 24, 'max_makespan': 35, 'makespan': 24}","{'paths': 0, 'flatBoolVars': 612, 'flatIntVars': 71, 'flatBoolConstraints': 153, 'flatIntConstraints': 651, 'evaluatedReifiedConstraints': 612, 'flatTime': 0.0563605, 'nodes': 35181, 'failures': 29580, 'restarts': 9, 'variables': 5341, 'intVars': 121, 'boolVariables': 5218, 'propagators': 1282, 'propagations': 11757210, 'peakDepth': 87, 'nogoods': 29580, 'backjumps': 5086, 'peakMem': 0.0, 'time': 1.5630000000000002, 'initTime': 0.009000000000000001, 'solveTime': 1.554, 'objective': 24, 'optTime': 1.5510000000000002, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",1.6400000000000001,Chuffed,base
ins-18,"{'width': 25, 'n_circuits': 19, 'dims': [[3, 25], [3, 19], [3, 18], [4, 13], [3, 17], [3, 14], [3, 13], [3, 11], [3, 10], [4, 7], [3, 9], [3, 8], [3, 7], [4, 5], [3, 6], [6, 3], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 6, 3, 3, 3], 'heights': [25, 19, 18, 13, 17, 14, 13, 11, 10, 7, 9, 8, 7, 5, 6, 3, 5, 4, 3], 'x': [9, 12, 19, 15, 22, 0, 3, 6, 6, 15, 3, 22, 19, 15, 12, 0, 0, 6, 0], 'y': [0, 0, 0, 7, 8, 5, 9, 4, 15, 0, 0, 0, 18, 20, 19, 22, 0, 0, 19], 'min_makespan': 25, 'max_makespan': 30, 'makespan': 25}","{'paths': 0, 'flatBoolVars': 684, 'flatIntVars': 75, 'flatBoolConstraints': 171, 'flatIntConstraints': 725, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.0596227, 'nodes': 1045, 'failures': 449, 'restarts': 6, 'variables': 5177, 'intVars': 129, 'boolVariables': 5046, 'propagators': 1429, 'propagations': 207727, 'peakDepth': 65, 'nogoods': 449, 'backjumps': 287, 'peakMem': 0.0, 'time': 0.027, 'initTime': 0.009000000000000001, 'solveTime': 0.018000000000000002, 'objective': 25, 'optTime': 0.018000000000000002, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.1,Chuffed,base
