data_file,solution,stats,TOTAL_TIME,solver,model
ins-1,"{'width': 8, 'n_circuits': 4, 'dims': [[5, 5], [3, 5], [5, 3], [3, 3]], 'widths': [5, 3, 5, 3], 'heights': [5, 5, 3, 3], 'x': [0, 0, 5, 5], 'y': [0, 5, 0, 5], 'is_rotated': [False, True, True, False], 'min_makespan': 8, 'max_makespan': 8, 'makespan': 8}","{'paths': 0, 'flatBoolVars': 32, 'flatIntVars': 29, 'flatBoolConstraints': 10, 'flatIntConstraints': 59, 'evaluatedReifiedConstraints': 24, 'flatTime': 0.045411799999999995, 'nodes': 58, 'failures': 18, 'restarts': 1, 'variables': 516, 'intVars': 30, 'boolVariables': 484, 'propagators': 86, 'propagations': 1223, 'peakDepth': 10, 'nogoods': 18, 'backjumps': 33, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 8, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,rotation.search
ins-10,"{'width': 17, 'n_circuits': 12, 'dims': [[4, 14], [7, 6], [4, 8], [3, 9], [3, 8], [3, 7], [7, 3], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 7, 4, 3, 3, 3, 7, 3, 3, 3, 4, 3], 'heights': [14, 6, 8, 9, 8, 7, 3, 6, 5, 4, 3, 3], 'x': [0, 0, 0, 0, 9, 7, 7, 14, 14, 8, 11, 14], 'y': [0, 4, 10, 14, 14, 4, 7, 0, 6, 10, 10, 11], 'is_rotated': [True, False, True, True, True, True, False, False, False, False, True, False], 'min_makespan': 17, 'max_makespan': 18, 'makespan': 17}","{'paths': 0, 'flatBoolVars': 288, 'flatIntVars': 94, 'flatBoolConstraints': 78, 'flatIntConstraints': 373, 'evaluatedReifiedConstraints': 264, 'flatTime': 0.051275299999999996, 'nodes': 198785, 'failures': 179732, 'restarts': 52, 'variables': 3228, 'intVars': 95, 'boolVariables': 3131, 'propagators': 649, 'propagations': 100823124, 'peakDepth': 27, 'nogoods': 179732, 'backjumps': 18458, 'peakMem': 0.0, 'time': 15.346, 'initTime': 0.006, 'solveTime': 15.34, 'objective': 17, 'optTime': 15.326, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",15.42,Chuffed,rotation.search
ins-12,"{'width': 19, 'n_circuits': 14, 'dims': [[3, 19], [3, 13], [3, 11], [4, 8], [3, 10], [3, 9], [3, 8], [4, 6], [3, 7], [4, 5], [3, 6], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3], 'heights': [19, 13, 11, 8, 10, 9, 8, 6, 7, 5, 6, 5, 4, 3], 'x': [0, 0, 0, 0, 0, 0, 11, 8, 9, 14, 10, 16, 16, 13], 'y': [0, 3, 12, 15, 6, 9, 12, 15, 9, 15, 6, 3, 8, 3], 'is_rotated': [True, True, True, True, True, True, True, True, True, True, True, False, False, False], 'min_makespan': 19, 'max_makespan': 24, 'makespan': 19}","{'paths': 0, 'flatBoolVars': 392, 'flatIntVars': 110, 'flatBoolConstraints': 105, 'flatIntConstraints': 491, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.0540762, 'nodes': 380261, 'failures': 340865, 'restarts': 81, 'variables': 4593, 'intVars': 111, 'boolVariables': 4480, 'propagators': 869, 'propagations': 176873588, 'peakDepth': 30, 'nogoods': 340865, 'backjumps': 38198, 'peakMem': 0.0, 'time': 30.664, 'initTime': 0.008, 'solveTime': 30.656, 'objective': 19, 'optTime': 30.656, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",30.74,Chuffed,rotation.search
ins-14,"{'width': 21, 'n_circuits': 15, 'dims': [[5, 15], [3, 18], [4, 11], [3, 14], [3, 10], [5, 6], [3, 9], [3, 8], [4, 6], [3, 7], [3, 6], [4, 4], [3, 5], [3, 4], [3, 3]], 'widths': [5, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3], 'heights': [15, 18, 11, 14, 10, 6, 9, 8, 6, 7, 6, 4, 5, 4, 3], 'x': [0, 0, 0, 0, 0, 10, 18, 15, 11, 0, 15, 17, 18, 14, 7], 'y': [0, 11, 17, 14, 5, 5, 3, 3, 17, 8, 0, 17, 12, 14, 8], 'is_rotated': [True, True, True, True, True, False, False, False, True, True, True, False, False, True, False], 'min_makespan': 21, 'max_makespan': 26, 'makespan': 21}","{'paths': 0, 'flatBoolVars': 450, 'flatIntVars': 117, 'flatBoolConstraints': 120, 'flatIntConstraints': 554, 'evaluatedReifiedConstraints': 420, 'flatTime': 0.0551616, 'nodes': 523449, 'failures': 419071, 'restarts': 100, 'variables': 5203, 'intVars': 118, 'boolVariables': 5083, 'propagators': 988, 'propagations': 317842523, 'peakDepth': 33, 'nogoods': 419071, 'backjumps': 102880, 'peakMem': 0.0, 'time': 43.294, 'initTime': 0.009000000000000001, 'solveTime': 43.285, 'objective': 21, 'optTime': 43.285, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",43.37,Chuffed,rotation.search
ins-2,"{'width': 9, 'n_circuits': 5, 'dims': [[3, 9], [3, 6], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 3, 3], 'heights': [9, 6, 5, 4, 3], 'x': [0, 0, 0, 5, 6], 'y': [0, 3, 6, 6, 3], 'is_rotated': [True, True, True, True, False], 'min_makespan': 9, 'max_makespan': 9, 'makespan': 9}","{'paths': 0, 'flatBoolVars': 50, 'flatIntVars': 38, 'flatBoolConstraints': 15, 'flatIntConstraints': 86, 'evaluatedReifiedConstraints': 40, 'flatTime': 0.0442481, 'nodes': 226, 'failures': 109, 'restarts': 1, 'variables': 766, 'intVars': 39, 'boolVariables': 725, 'propagators': 131, 'propagations': 10832, 'peakDepth': 11, 'nogoods': 109, 'backjumps': 108, 'peakMem': 0.0, 'time': 0.003, 'initTime': 0.001, 'solveTime': 0.002, 'objective': 9, 'optTime': 0.002, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,rotation.search
ins-3,"{'width': 10, 'n_circuits': 6, 'dims': [[4, 6], [3, 7], [3, 6], [4, 4], [3, 4], [3, 3]], 'widths': [4, 3, 3, 4, 3, 3], 'heights': [6, 7, 6, 4, 4, 3], 'x': [0, 0, 0, 6, 6, 7], 'y': [0, 4, 7, 0, 7, 4], 'is_rotated': [True, True, True, False, True, False], 'min_makespan': 10, 'max_makespan': 15, 'makespan': 10}","{'paths': 0, 'flatBoolVars': 72, 'flatIntVars': 45, 'flatBoolConstraints': 21, 'flatIntConstraints': 113, 'evaluatedReifiedConstraints': 60, 'flatTime': 0.0461405, 'nodes': 526, 'failures': 207, 'restarts': 1, 'variables': 1127, 'intVars': 46, 'boolVariables': 1079, 'propagators': 178, 'propagations': 20803, 'peakDepth': 15, 'nogoods': 207, 'backjumps': 307, 'peakMem': 0.0, 'time': 0.005, 'initTime': 0.002, 'solveTime': 0.003, 'objective': 10, 'optTime': 0.003, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.06,Chuffed,rotation.search
ins-4,"{'width': 11, 'n_circuits': 7, 'dims': [[8, 4], [5, 4], [3, 6], [3, 5], [5, 3], [3, 4], [3, 3]], 'widths': [8, 5, 3, 3, 5, 3, 3], 'heights': [4, 4, 6, 5, 3, 4, 3], 'x': [0, 0, 0, 6, 8, 5, 8], 'y': [0, 4, 8, 8, 0, 4, 5], 'is_rotated': [False, False, True, True, True, False, False], 'min_makespan': 11, 'max_makespan': 12, 'makespan': 11}","{'paths': 0, 'flatBoolVars': 98, 'flatIntVars': 54, 'flatBoolConstraints': 28, 'flatIntConstraints': 148, 'evaluatedReifiedConstraints': 84, 'flatTime': 0.0457411, 'nodes': 1091, 'failures': 585, 'restarts': 1, 'variables': 1287, 'intVars': 55, 'boolVariables': 1230, 'propagators': 239, 'propagations': 80633, 'peakDepth': 18, 'nogoods': 585, 'backjumps': 493, 'peakMem': 0.0, 'time': 0.013000000000000001, 'initTime': 0.002, 'solveTime': 0.011, 'objective': 11, 'optTime': 0.011, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.07,Chuffed,rotation.search
ins-5,"{'width': 12, 'n_circuits': 8, 'dims': [[3, 9], [3, 8], [3, 7], [3, 6], [6, 3], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 3, 6, 3, 3, 3], 'heights': [9, 8, 7, 6, 3, 5, 4, 3], 'x': [0, 0, 0, 0, 6, 7, 8, 9], 'y': [0, 3, 6, 9, 9, 6, 3, 0], 'is_rotated': [True, True, True, True, False, True, True, False], 'min_makespan': 12, 'max_makespan': 13, 'makespan': 12}","{'paths': 0, 'flatBoolVars': 128, 'flatIntVars': 62, 'flatBoolConstraints': 36, 'flatIntConstraints': 185, 'evaluatedReifiedConstraints': 112, 'flatTime': 0.0469122, 'nodes': 1645, 'failures': 901, 'restarts': 1, 'variables': 1592, 'intVars': 63, 'boolVariables': 1527, 'propagators': 305, 'propagations': 157027, 'peakDepth': 19, 'nogoods': 901, 'backjumps': 730, 'peakMem': 0.0, 'time': 0.021, 'initTime': 0.003, 'solveTime': 0.018000000000000002, 'objective': 12, 'optTime': 0.018000000000000002, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.08,Chuffed,rotation.search
ins-6,"{'width': 13, 'n_circuits': 9, 'dims': [[7, 6], [3, 8], [3, 7], [3, 6], [4, 4], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [7, 3, 3, 3, 4, 3, 3, 4, 3], 'heights': [6, 8, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 0, 0, 7, 6, 8, 6, 10, 10], 'y': [0, 7, 10, 10, 0, 7, 4, 0, 4], 'is_rotated': [True, True, True, True, False, True, True, True, False], 'min_makespan': 13, 'max_makespan': 18, 'makespan': 13}","{'paths': 0, 'flatBoolVars': 162, 'flatIntVars': 69, 'flatBoolConstraints': 45, 'flatIntConstraints': 224, 'evaluatedReifiedConstraints': 144, 'flatTime': 0.047973499999999995, 'nodes': 7141, 'failures': 4392, 'restarts': 3, 'variables': 2084, 'intVars': 70, 'boolVariables': 2012, 'propagators': 376, 'propagations': 809029, 'peakDepth': 21, 'nogoods': 4392, 'backjumps': 2710, 'peakMem': 0.0, 'time': 0.11900000000000001, 'initTime': 0.004, 'solveTime': 0.115, 'objective': 13, 'optTime': 0.115, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.18,Chuffed,rotation.search
ins-7,"{'width': 14, 'n_circuits': 9, 'dims': [[5, 10], [3, 9], [3, 8], [3, 7], [5, 4], [3, 6], [3, 5], [3, 4], [3, 3]], 'widths': [5, 3, 3, 3, 5, 3, 3, 3, 3], 'heights': [10, 9, 8, 7, 4, 6, 5, 4, 3], 'x': [0, 0, 0, 0, 10, 8, 9, 7, 11], 'y': [0, 5, 8, 11, 0, 8, 5, 11, 11], 'is_rotated': [True, True, True, True, True, True, True, True, False], 'min_makespan': 14, 'max_makespan': 20, 'makespan': 14}","{'paths': 0, 'flatBoolVars': 162, 'flatIntVars': 70, 'flatBoolConstraints': 45, 'flatIntConstraints': 226, 'evaluatedReifiedConstraints': 144, 'flatTime': 0.0488966, 'nodes': 6346, 'failures': 4173, 'restarts': 3, 'variables': 2300, 'intVars': 71, 'boolVariables': 2227, 'propagators': 379, 'propagations': 1052012, 'peakDepth': 21, 'nogoods': 4173, 'backjumps': 2138, 'peakMem': 0.0, 'time': 0.122, 'initTime': 0.004, 'solveTime': 0.11800000000000001, 'objective': 14, 'optTime': 0.117, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.18,Chuffed,rotation.search
