data_file,solution,stats,TOTAL_TIME,solver,model
ins-1,"{'width': 8, 'n_circuits': 4, 'dims': [[5, 5], [3, 5], [5, 3], [3, 3]], 'widths': [5, 3, 5, 3], 'heights': [5, 5, 3, 3], 'x': [0, 3, 5, 0], 'y': [0, 5, 0, 5], 'is_rotated': [False, True, True, False], 'min_makespan': 8, 'max_makespan': 8, 'makespan': 8}","{'paths': 0, 'flatBoolVars': 32, 'flatIntVars': 29, 'flatBoolConstraints': 10, 'flatIntConstraints': 59, 'evaluatedReifiedConstraints': 24, 'flatTime': 0.0445975, 'nodes': 27, 'failures': 6, 'restarts': 1, 'variables': 516, 'intVars': 30, 'boolVariables': 484, 'propagators': 86, 'propagations': 631, 'peakDepth': 8, 'nogoods': 6, 'backjumps': 14, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 8, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,rotation
ins-10,"{'width': 17, 'n_circuits': 12, 'dims': [[4, 14], [7, 6], [4, 8], [3, 9], [3, 8], [3, 7], [7, 3], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 7, 4, 3, 3, 3, 7, 3, 3, 3, 4, 3], 'heights': [14, 6, 8, 9, 8, 7, 3, 6, 5, 4, 3, 3], 'x': [7, 11, 0, 5, 4, 0, 0, 14, 0, 14, 11, 11], 'y': [3, 10, 9, 0, 9, 6, 3, 0, 0, 6, 6, 3], 'is_rotated': [False, True, False, True, False, True, False, False, True, False, True, False], 'min_makespan': 17, 'max_makespan': 18, 'makespan': 17}","{'paths': 0, 'flatBoolVars': 288, 'flatIntVars': 94, 'flatBoolConstraints': 78, 'flatIntConstraints': 373, 'evaluatedReifiedConstraints': 264, 'flatTime': 0.0515497, 'nodes': 5308, 'failures': 4609, 'restarts': 2, 'variables': 3228, 'intVars': 95, 'boolVariables': 3131, 'propagators': 649, 'propagations': 1179664, 'peakDepth': 34, 'nogoods': 4609, 'backjumps': 638, 'peakMem': 0.0, 'time': 0.234, 'initTime': 0.006, 'solveTime': 0.228, 'objective': 17, 'optTime': 0.228, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.30000000000000004,Chuffed,rotation
ins-11,"{'width': 18, 'n_circuits': 16, 'dims': [[3, 11], [3, 10], [5, 6], [5, 5], [3, 8], [4, 6], [3, 7], [4, 5], [5, 4], [3, 6], [4, 4], [3, 5], [5, 3], [3, 4], [4, 3], [3, 3]], 'widths': [3, 3, 5, 5, 3, 4, 3, 4, 5, 3, 4, 3, 5, 3, 4, 3], 'heights': [11, 10, 6, 5, 8, 6, 7, 5, 4, 6, 4, 5, 3, 4, 3, 3], 'x': [12, 15, 3, 4, 9, 3, 9, 0, 4, 0, 0, 15, 13, 12, 9, 0], 'y': [3, 3, 9, 4, 3, 14, 11, 4, 0, 12, 0, 13, 0, 14, 0, 9], 'is_rotated': [False, False, True, True, False, True, False, False, False, False, False, False, False, False, False, True], 'min_makespan': 18, 'max_makespan': 23, 'makespan': 18}","{'paths': 0, 'flatBoolVars': 512, 'flatIntVars': 124, 'flatBoolConstraints': 136, 'flatIntConstraints': 621, 'evaluatedReifiedConstraints': 480, 'flatTime': 0.0565289, 'nodes': 325179, 'failures': 283103, 'restarts': 6, 'variables': 4772, 'intVars': 125, 'boolVariables': 4645, 'propagators': 1115, 'propagations': 90565286, 'peakDepth': 75, 'nogoods': 283103, 'backjumps': 41728, 'peakMem': 0.0, 'time': 25.039, 'initTime': 0.009000000000000001, 'solveTime': 25.03, 'objective': 18, 'optTime': 25.03, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",25.12,Chuffed,rotation
ins-12,"{'width': 19, 'n_circuits': 14, 'dims': [[3, 19], [3, 13], [3, 11], [4, 8], [3, 10], [3, 9], [3, 8], [4, 6], [3, 7], [4, 5], [3, 6], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3], 'heights': [19, 13, 11, 8, 10, 9, 8, 6, 7, 5, 6, 5, 4, 3], 'x': [3, 12, 6, 15, 0, 9, 6, 15, 9, 15, 9, 0, 0, 12], 'y': [0, 6, 0, 11, 9, 10, 11, 5, 3, 0, 0, 0, 5, 3], 'is_rotated': [False, False, False, False, False, False, False, False, False, False, True, False, False, True], 'min_makespan': 19, 'max_makespan': 24, 'makespan': 19}","{'paths': 0, 'flatBoolVars': 392, 'flatIntVars': 110, 'flatBoolConstraints': 105, 'flatIntConstraints': 491, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.053805599999999995, 'nodes': 127784, 'failures': 115796, 'restarts': 6, 'variables': 4593, 'intVars': 111, 'boolVariables': 4480, 'propagators': 869, 'propagations': 27273455, 'peakDepth': 52, 'nogoods': 115796, 'backjumps': 11712, 'peakMem': 0.0, 'time': 8.504, 'initTime': 0.008, 'solveTime': 8.496, 'objective': 19, 'optTime': 8.485, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",8.58,Chuffed,rotation
ins-13,"{'width': 20, 'n_circuits': 14, 'dims': [[4, 17], [3, 17], [4, 11], [4, 9], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [17, 17, 11, 9, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [0, 4, 13, 16, 17, 7, 13, 10, 3, 7, 10, 7, 10, 0], 'y': [0, 0, 0, 11, 0, 3, 11, 12, 17, 0, 7, 13, 3, 17], 'is_rotated': [False, False, False, False, False, False, False, False, True, True, False, False, True, False], 'min_makespan': 20, 'max_makespan': 25, 'makespan': 20}","{'paths': 0, 'flatBoolVars': 392, 'flatIntVars': 110, 'flatBoolConstraints': 105, 'flatIntConstraints': 491, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.0534424, 'nodes': 1786, 'failures': 888, 'restarts': 6, 'variables': 4719, 'intVars': 111, 'boolVariables': 4606, 'propagators': 869, 'propagations': 287531, 'peakDepth': 53, 'nogoods': 888, 'backjumps': 614, 'peakMem': 0.0, 'time': 0.056, 'initTime': 0.008, 'solveTime': 0.048, 'objective': 20, 'optTime': 0.048, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.12,Chuffed,rotation
ins-14,"{'width': 21, 'n_circuits': 15, 'dims': [[5, 15], [3, 18], [4, 11], [3, 14], [3, 10], [5, 6], [3, 9], [3, 8], [4, 6], [3, 7], [3, 6], [4, 4], [3, 5], [3, 4], [3, 3]], 'widths': [5, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3], 'heights': [15, 18, 11, 14, 10, 6, 9, 8, 6, 7, 6, 4, 5, 4, 3], 'x': [4, 9, 0, 18, 12, 0, 15, 12, 5, 18, 15, 0, 13, 9, 15], 'y': [0, 3, 4, 0, 3, 15, 12, 13, 15, 14, 6, 0, 0, 0, 3], 'is_rotated': [False, False, False, False, False, False, False, False, False, False, False, False, True, True, False], 'min_makespan': 21, 'max_makespan': 26, 'makespan': 21}","{'paths': 0, 'flatBoolVars': 450, 'flatIntVars': 117, 'flatBoolConstraints': 120, 'flatIntConstraints': 554, 'evaluatedReifiedConstraints': 420, 'flatTime': 0.0553955, 'nodes': 97304, 'failures': 86864, 'restarts': 6, 'variables': 5203, 'intVars': 118, 'boolVariables': 5083, 'propagators': 988, 'propagations': 23456774, 'peakDepth': 56, 'nogoods': 86864, 'backjumps': 10154, 'peakMem': 0.0, 'time': 6.537, 'initTime': 0.009000000000000001, 'solveTime': 6.5280000000000005, 'objective': 21, 'optTime': 6.527, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",6.61,Chuffed,rotation
ins-15,"{'width': 22, 'n_circuits': 16, 'dims': [[4, 19], [3, 22], [3, 14], [3, 13], [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [6, 4], [3, 7], [3, 6], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 4, 3], 'heights': [19, 22, 14, 13, 12, 11, 10, 9, 8, 4, 7, 6, 5, 4, 3, 3], 'x': [15, 19, 12, 6, 9, 3, 6, 6, 0, 0, 9, 0, 12, 0, 3, 0], 'y': [0, 0, 5, 19, 0, 0, 0, 10, 3, 18, 12, 11, 0, 14, 14, 0], 'is_rotated': [False, False, False, True, False, False, False, False, False, False, False, True, False, False, True, False], 'min_makespan': 22, 'max_makespan': 27, 'makespan': 22}","{'paths': 0, 'flatBoolVars': 512, 'flatIntVars': 126, 'flatBoolConstraints': 136, 'flatIntConstraints': 625, 'evaluatedReifiedConstraints': 480, 'flatTime': 0.056491, 'nodes': 3757, 'failures': 2616, 'restarts': 6, 'variables': 5938, 'intVars': 127, 'boolVariables': 5809, 'propagators': 1121, 'propagations': 987763, 'peakDepth': 63, 'nogoods': 2616, 'backjumps': 817, 'peakMem': 0.0, 'time': 0.169, 'initTime': 0.01, 'solveTime': 0.159, 'objective': 22, 'optTime': 0.158, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.24,Chuffed,rotation
ins-16,"{'width': 23, 'n_circuits': 19, 'dims': [[3, 20], [4, 12], [4, 11], [3, 14], [4, 10], [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [4, 6], [3, 7], [3, 6], [6, 3], [4, 4], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 6, 4, 3, 3, 4, 3], 'heights': [20, 12, 11, 14, 10, 12, 11, 10, 9, 8, 6, 7, 6, 3, 4, 5, 4, 3, 3], 'x': [6, 16, 9, 0, 13, 20, 3, 6, 13, 3, 9, 20, 0, 9, 16, 15, 3, 13, 0], 'y': [0, 11, 9, 9, 7, 11, 12, 20, 11, 4, 3, 0, 3, 0, 3, 0, 0, 3, 0], 'is_rotated': [False, False, False, False, True, False, False, True, False, False, False, False, False, False, True, True, False, True, True], 'min_makespan': 23, 'max_makespan': 33, 'makespan': 23}","{'paths': 0, 'flatBoolVars': 722, 'flatIntVars': 149, 'flatBoolConstraints': 190, 'flatIntConstraints': 854, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.06531239999999999, 'nodes': 981213, 'failures': 882314, 'restarts': 11, 'variables': 7749, 'intVars': 150, 'boolVariables': 7597, 'propagators': 1556, 'propagations': 328942345, 'peakDepth': 89, 'nogoods': 882314, 'backjumps': 98075, 'peakMem': 0.0, 'time': 106.492, 'initTime': 0.014, 'solveTime': 106.478, 'objective': 23, 'optTime': 106.457, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",106.59,Chuffed,rotation
ins-17,"{'width': 24, 'n_circuits': 18, 'dims': [[5, 16], [3, 24], [3, 18], [4, 12], [3, 14], [5, 8], [3, 12], [3, 10], [3, 9], [3, 8], [3, 7], [4, 5], [3, 6], [4, 4], [3, 5], [3, 4], [4, 3], [3, 3]], 'widths': [5, 3, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [16, 24, 18, 12, 14, 8, 12, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [13, 18, 4, 0, 4, 10, 7, 21, 7, 10, 0, 0, 21, 0, 10, 21, 21, 10], 'y': [0, 0, 3, 12, 21, 16, 9, 14, 0, 8, 0, 7, 8, 3, 3, 4, 0, 0], 'is_rotated': [False, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False, True, True], 'min_makespan': 24, 'max_makespan': 35, 'makespan': 24}","{'paths': 0, 'flatBoolVars': 648, 'flatIntVars': 141, 'flatBoolConstraints': 171, 'flatIntConstraints': 773, 'evaluatedReifiedConstraints': 612, 'flatTime': 0.0634772, 'nodes': 69180, 'failures': 55646, 'restarts': 11, 'variables': 7765, 'intVars': 142, 'boolVariables': 7621, 'propagators': 1402, 'propagations': 21633200, 'peakDepth': 88, 'nogoods': 55646, 'backjumps': 12743, 'peakMem': 0.0, 'time': 4.091, 'initTime': 0.013000000000000001, 'solveTime': 4.078, 'objective': 24, 'optTime': 4.078, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",4.18,Chuffed,rotation
ins-18,"{'width': 25, 'n_circuits': 19, 'dims': [[3, 25], [3, 19], [3, 18], [4, 13], [3, 17], [3, 14], [3, 13], [3, 11], [3, 10], [4, 7], [3, 9], [3, 8], [3, 7], [4, 5], [3, 6], [6, 3], [3, 5], [3, 4], [3, 3]], 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 6, 3, 3, 3], 'heights': [25, 19, 18, 13, 17, 14, 13, 11, 10, 7, 9, 8, 7, 5, 6, 3, 5, 4, 3], 'x': [0, 3, 7, 7, 0, 3, 12, 7, 0, 3, 22, 17, 0, 20, 0, 6, 17, 18, 0], 'y': [0, 15, 3, 21, 12, 6, 9, 18, 15, 18, 12, 6, 3, 21, 9, 9, 12, 18, 6], 'is_rotated': [True, True, True, True, True, True, True, True, False, False, False, True, True, True, True, False, True, True, False], 'min_makespan': 25, 'max_makespan': 30, 'makespan': 25}","{'paths': 0, 'flatBoolVars': 722, 'flatIntVars': 150, 'flatBoolConstraints': 190, 'flatIntConstraints': 856, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.064995, 'nodes': 19181, 'failures': 13603, 'restarts': 6, 'variables': 7891, 'intVars': 151, 'boolVariables': 7738, 'propagators': 1559, 'propagations': 7275479, 'peakDepth': 75, 'nogoods': 13603, 'backjumps': 5196, 'peakMem': 0.0, 'time': 0.9450000000000001, 'initTime': 0.014, 'solveTime': 0.931, 'objective': 25, 'optTime': 0.928, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",1.03,Chuffed,rotation
