data_file,solution,stats,TOTAL_TIME,solver,model
ins-1,"{'width': 8, 'n_circuits': 4, 'widths': [5, 3, 5, 3], 'heights': [5, 5, 3, 3], 'x': [0, 5, 0, 5], 'y': [0, 0, 5, 5], 'min_makespan': 8, 'max_makespan': 8, 'makespan': 8}","{'paths': 0, 'flatBoolVars': 66, 'flatIntVars': 15, 'flatBoolConstraints': 28, 'flatIntConstraints': 65, 'evaluatedReifiedConstraints': 54, 'eliminatedImplications': 12, 'flatTime': 0.0460668, 'nodes': 7, 'failures': 0, 'restarts': 1, 'variables': 332, 'intVars': 34, 'boolVariables': 296, 'propagators': 136, 'propagations': 252, 'peakDepth': 6, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 8, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,search.symmetry
ins-10,"{'width': 17, 'n_circuits': 12, 'widths': [4, 7, 4, 3, 3, 3, 7, 3, 3, 3, 4, 3], 'heights': [14, 6, 8, 9, 8, 7, 3, 6, 5, 4, 3, 3], 'x': [0, 4, 4, 11, 8, 14, 0, 14, 11, 14, 7, 11], 'y': [0, 0, 6, 0, 6, 0, 14, 7, 9, 13, 14, 14], 'min_makespan': 17, 'max_makespan': 18, 'makespan': 17}","{'paths': 0, 'flatBoolVars': 484, 'flatIntVars': 47, 'flatBoolConstraints': 172, 'flatIntConstraints': 458, 'evaluatedReifiedConstraints': 430, 'eliminatedImplications': 44, 'flatTime': 0.0664641, 'nodes': 35, 'failures': 11, 'restarts': 1, 'variables': 2196, 'intVars': 80, 'boolVariables': 2114, 'propagators': 991, 'propagations': 7627, 'peakDepth': 21, 'nogoods': 11, 'backjumps': 2, 'peakMem': 0.0, 'time': 0.006, 'initTime': 0.005, 'solveTime': 0.001, 'objective': 17, 'optTime': 0.001, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.09,Chuffed,search.symmetry
ins-11,"{'width': 18, 'n_circuits': 16, 'widths': [3, 3, 5, 5, 3, 4, 3, 4, 5, 3, 4, 3, 5, 3, 4, 3], 'heights': [11, 10, 6, 5, 8, 6, 7, 5, 4, 6, 4, 5, 3, 4, 3, 3], 'x': [0, 3, 6, 3, 8, 11, 0, 11, 6, 15, 11, 15, 3, 15, 11, 15], 'y': [0, 0, 0, 10, 10, 0, 11, 6, 6, 0, 11, 6, 15, 11, 15, 15], 'min_makespan': 18, 'max_makespan': 23, 'makespan': 18}","{'paths': 0, 'flatBoolVars': 834, 'flatIntVars': 63, 'flatBoolConstraints': 286, 'flatIntConstraints': 786, 'evaluatedReifiedConstraints': 750, 'eliminatedImplications': 60, 'flatTime': 0.0820986, 'nodes': 111102, 'failures': 105825, 'restarts': 221, 'variables': 3664, 'intVars': 104, 'boolVariables': 3558, 'propagators': 1709, 'propagations': 43325096, 'peakDepth': 37, 'nogoods': 105825, 'backjumps': 3627, 'peakMem': 0.0, 'time': 6.337, 'initTime': 0.009000000000000001, 'solveTime': 6.328, 'objective': 18, 'optTime': 6.328, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",6.44,Chuffed,search.symmetry
ins-12,"{'width': 19, 'n_circuits': 14, 'widths': [3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3], 'heights': [19, 13, 11, 8, 10, 9, 8, 6, 7, 5, 6, 5, 4, 3], 'x': [0, 3, 6, 6, 13, 13, 10, 9, 16, 9, 3, 16, 16, 16], 'y': [0, 0, 0, 11, 0, 10, 11, 0, 0, 6, 13, 7, 12, 16], 'min_makespan': 19, 'max_makespan': 24, 'makespan': 19}","{'paths': 0, 'flatBoolVars': 751, 'flatIntVars': 55, 'flatBoolConstraints': 267, 'flatIntConstraints': 694, 'evaluatedReifiedConstraints': 662, 'eliminatedImplications': 52, 'flatTime': 0.0752246, 'nodes': 327, 'failures': 282, 'restarts': 2, 'variables': 3342, 'intVars': 95, 'boolVariables': 3245, 'propagators': 1554, 'propagations': 103484, 'peakDepth': 26, 'nogoods': 282, 'backjumps': 10, 'peakMem': 0.0, 'time': 0.018000000000000002, 'initTime': 0.008, 'solveTime': 0.01, 'objective': 19, 'optTime': 0.01, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.11,Chuffed,search.symmetry
ins-13,"{'width': 20, 'n_circuits': 14, 'widths': [4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [17, 17, 11, 9, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [0, 4, 7, 7, 11, 14, 11, 17, 17, 14, 17, 14, 0, 4], 'y': [0, 0, 0, 11, 0, 0, 11, 0, 8, 10, 15, 16, 17, 17], 'min_makespan': 20, 'max_makespan': 25, 'makespan': 20}","{'paths': 0, 'flatBoolVars': 721, 'flatIntVars': 55, 'flatBoolConstraints': 255, 'flatIntConstraints': 670, 'evaluatedReifiedConstraints': 638, 'eliminatedImplications': 52, 'flatTime': 0.0767301, 'nodes': 31, 'failures': 2, 'restarts': 1, 'variables': 3414, 'intVars': 94, 'boolVariables': 3318, 'propagators': 1488, 'propagations': 6015, 'peakDepth': 28, 'nogoods': 2, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.008, 'initTime': 0.008, 'solveTime': 0.0, 'objective': 20, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.1,Chuffed,search.symmetry
ins-14,"{'width': 21, 'n_circuits': 15, 'widths': [5, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3], 'heights': [15, 18, 11, 14, 10, 6, 9, 8, 6, 7, 6, 4, 5, 4, 3], 'x': [0, 5, 8, 12, 15, 0, 18, 18, 8, 12, 15, 8, 15, 18, 5], 'y': [0, 0, 0, 0, 0, 15, 0, 9, 11, 14, 10, 17, 16, 17, 18], 'min_makespan': 21, 'max_makespan': 26, 'makespan': 21}","{'paths': 0, 'flatBoolVars': 773, 'flatIntVars': 59, 'flatBoolConstraints': 269, 'flatIntConstraints': 724, 'evaluatedReifiedConstraints': 690, 'eliminatedImplications': 56, 'flatTime': 0.0781457, 'nodes': 215, 'failures': 176, 'restarts': 2, 'variables': 3788, 'intVars': 102, 'boolVariables': 3684, 'propagators': 1589, 'propagations': 77502, 'peakDepth': 30, 'nogoods': 176, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.016, 'initTime': 0.009000000000000001, 'solveTime': 0.007, 'objective': 21, 'optTime': 0.007, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.11,Chuffed,search.symmetry
ins-15,"{'width': 22, 'n_circuits': 16, 'widths': [4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 4, 3], 'heights': [19, 22, 14, 13, 12, 11, 10, 9, 8, 4, 7, 6, 5, 4, 3, 3], 'x': [0, 4, 7, 10, 13, 16, 13, 10, 7, 16, 16, 19, 19, 19, 0, 19], 'y': [0, 0, 0, 0, 0, 0, 12, 13, 14, 11, 15, 0, 6, 15, 19, 19], 'min_makespan': 22, 'max_makespan': 27, 'makespan': 22}","{'paths': 0, 'flatBoolVars': 979, 'flatIntVars': 63, 'flatBoolConstraints': 344, 'flatIntConstraints': 902, 'evaluatedReifiedConstraints': 866, 'eliminatedImplications': 60, 'flatTime': 0.08659009999999999, 'nodes': 33, 'failures': 0, 'restarts': 1, 'variables': 4341, 'intVars': 110, 'boolVariables': 4229, 'propagators': 2028, 'propagations': 7549, 'peakDepth': 32, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.011, 'initTime': 0.011, 'solveTime': 0.0, 'objective': 22, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.12,Chuffed,search.symmetry
ins-16,"{'width': 23, 'n_circuits': 19, 'widths': [3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 6, 4, 3, 3, 4, 3], 'heights': [20, 12, 11, 14, 10, 12, 11, 10, 9, 8, 6, 7, 6, 3, 4, 5, 4, 3, 3], 'x': [0, 3, 3, 7, 10, 14, 14, 17, 7, 20, 10, 20, 17, 17, 10, 20, 17, 10, 0], 'y': [0, 0, 12, 0, 0, 0, 12, 0, 14, 0, 10, 8, 10, 20, 16, 15, 16, 20, 20], 'min_makespan': 23, 'max_makespan': 33, 'makespan': 23}","{'paths': 0, 'flatBoolVars': 1241, 'flatIntVars': 75, 'flatBoolConstraints': 423, 'flatIntConstraints': 1156, 'evaluatedReifiedConstraints': 1114, 'eliminatedImplications': 72, 'flatTime': 0.09850719999999999, 'nodes': 7461, 'failures': 6960, 'restarts': 25, 'variables': 5962, 'intVars': 126, 'boolVariables': 5834, 'propagators': 2557, 'propagations': 2537249, 'peakDepth': 35, 'nogoods': 6960, 'backjumps': 229, 'peakMem': 0.0, 'time': 0.30000000000000004, 'initTime': 0.014, 'solveTime': 0.28600000000000003, 'objective': 23, 'optTime': 0.28600000000000003, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.42,Chuffed,search.symmetry
ins-17,"{'width': 24, 'n_circuits': 18, 'widths': [5, 3, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [16, 24, 18, 12, 14, 8, 12, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 5, 8, 11, 15, 0, 18, 15, 18, 21, 21, 11, 8, 11, 21, 21, 11, 18], 'y': [0, 0, 0, 0, 0, 16, 0, 14, 12, 0, 8, 12, 18, 17, 15, 20, 21, 21], 'min_makespan': 24, 'max_makespan': 35, 'makespan': 24}","{'paths': 0, 'flatBoolVars': 1108, 'flatIntVars': 71, 'flatBoolConstraints': 379, 'flatIntConstraints': 1034, 'evaluatedReifiedConstraints': 994, 'eliminatedImplications': 68, 'flatTime': 0.09337039999999999, 'nodes': 811, 'failures': 732, 'restarts': 4, 'variables': 5819, 'intVars': 121, 'boolVariables': 5696, 'propagators': 2281, 'propagations': 278475, 'peakDepth': 34, 'nogoods': 732, 'backjumps': 16, 'peakMem': 0.0, 'time': 0.041, 'initTime': 0.013000000000000001, 'solveTime': 0.028, 'objective': 24, 'optTime': 0.028, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.16,Chuffed,search.symmetry
ins-18,"{'width': 25, 'n_circuits': 19, 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 6, 3, 3, 3], 'heights': [25, 19, 18, 13, 17, 14, 13, 11, 10, 7, 9, 8, 7, 5, 6, 3, 5, 4, 3], 'x': [0, 3, 6, 9, 13, 16, 19, 16, 22, 6, 19, 13, 10, 9, 3, 19, 22, 22, 22], 'y': [0, 0, 0, 0, 0, 0, 0, 14, 0, 18, 13, 17, 18, 13, 19, 22, 10, 15, 19], 'min_makespan': 25, 'max_makespan': 30, 'makespan': 25}","{'paths': 0, 'flatBoolVars': 1356, 'flatIntVars': 75, 'flatBoolConstraints': 469, 'flatIntConstraints': 1248, 'evaluatedReifiedConstraints': 1206, 'eliminatedImplications': 72, 'flatTime': 0.102892, 'nodes': 338, 'failures': 287, 'restarts': 2, 'variables': 5829, 'intVars': 129, 'boolVariables': 5698, 'propagators': 2810, 'propagations': 198068, 'peakDepth': 38, 'nogoods': 287, 'backjumps': 2, 'peakMem': 0.0, 'time': 0.032, 'initTime': 0.014, 'solveTime': 0.018000000000000002, 'objective': 25, 'optTime': 0.018000000000000002, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.16,Chuffed,search.symmetry
