data_file,solution,stats,TOTAL_TIME,solver,model
ins-1,"{'width': 8, 'n_circuits': 4, 'widths': [5, 3, 5, 3], 'heights': [5, 5, 3, 3], 'x': [0, 5, 0, 5], 'y': [0, 0, 5, 5], 'min_makespan': 8, 'max_makespan': 8, 'makespan': 8}","{'paths': 0, 'flatBoolVars': 24, 'flatIntVars': 15, 'flatBoolConstraints': 6, 'flatIntConstraints': 35, 'evaluatedReifiedConstraints': 24, 'flatTime': 0.0432672, 'nodes': 5, 'failures': 0, 'restarts': 1, 'variables': 272, 'intVars': 27, 'boolVariables': 243, 'propagators': 64, 'propagations': 151, 'peakDepth': 4, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.0, 'initTime': 0.0, 'solveTime': 0.0, 'objective': 8, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,search
ins-10,"{'width': 17, 'n_circuits': 12, 'widths': [4, 7, 4, 3, 3, 3, 7, 3, 3, 3, 4, 3], 'heights': [14, 6, 8, 9, 8, 7, 3, 6, 5, 4, 3, 3], 'x': [0, 4, 4, 11, 8, 14, 0, 14, 11, 14, 7, 11], 'y': [0, 0, 6, 0, 6, 0, 14, 7, 9, 13, 14, 14], 'min_makespan': 17, 'max_makespan': 18, 'makespan': 17}","{'paths': 0, 'flatBoolVars': 264, 'flatIntVars': 47, 'flatBoolConstraints': 66, 'flatIntConstraints': 291, 'evaluatedReifiedConstraints': 264, 'flatTime': 0.0485938, 'nodes': 28, 'failures': 11, 'restarts': 1, 'variables': 1988, 'intVars': 80, 'boolVariables': 1906, 'propagators': 568, 'propagations': 3636, 'peakDepth': 14, 'nogoods': 11, 'backjumps': 2, 'peakMem': 0.0, 'time': 0.004, 'initTime': 0.004, 'solveTime': 0.0, 'objective': 17, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.06,Chuffed,search
ins-11,"{'width': 18, 'n_circuits': 16, 'widths': [3, 3, 5, 5, 3, 4, 3, 4, 5, 3, 4, 3, 5, 3, 4, 3], 'heights': [11, 10, 6, 5, 8, 6, 7, 5, 4, 6, 4, 5, 3, 4, 3, 3], 'x': [0, 3, 6, 3, 8, 11, 0, 11, 6, 15, 11, 15, 3, 15, 11, 15], 'y': [0, 0, 0, 10, 10, 0, 11, 6, 6, 0, 11, 6, 15, 11, 15, 15], 'min_makespan': 18, 'max_makespan': 23, 'makespan': 18}","{'paths': 0, 'flatBoolVars': 480, 'flatIntVars': 63, 'flatBoolConstraints': 120, 'flatIntConstraints': 515, 'evaluatedReifiedConstraints': 480, 'flatTime': 0.0531301, 'nodes': 110948, 'failures': 105639, 'restarts': 221, 'variables': 3324, 'intVars': 104, 'boolVariables': 3218, 'propagators': 1012, 'propagations': 20352231, 'peakDepth': 23, 'nogoods': 105639, 'backjumps': 3672, 'peakMem': 0.0, 'time': 4.786, 'initTime': 0.006, 'solveTime': 4.78, 'objective': 18, 'optTime': 4.78, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",4.86,Chuffed,search
ins-12,"{'width': 19, 'n_circuits': 14, 'widths': [3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3], 'heights': [19, 13, 11, 8, 10, 9, 8, 6, 7, 5, 6, 5, 4, 3], 'x': [0, 3, 6, 6, 13, 13, 10, 9, 16, 9, 3, 16, 16, 16], 'y': [0, 0, 0, 11, 0, 10, 11, 0, 0, 6, 13, 7, 12, 16], 'min_makespan': 19, 'max_makespan': 24, 'makespan': 19}","{'paths': 0, 'flatBoolVars': 364, 'flatIntVars': 55, 'flatBoolConstraints': 91, 'flatIntConstraints': 395, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.0510881, 'nodes': 322, 'failures': 287, 'restarts': 2, 'variables': 2969, 'intVars': 95, 'boolVariables': 2872, 'propagators': 774, 'propagations': 48927, 'peakDepth': 16, 'nogoods': 287, 'backjumps': 11, 'peakMem': 0.0, 'time': 0.012, 'initTime': 0.005, 'solveTime': 0.007, 'objective': 19, 'optTime': 0.007, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.07,Chuffed,search
ins-13,"{'width': 20, 'n_circuits': 14, 'widths': [4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [17, 17, 11, 9, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [0, 4, 7, 7, 11, 14, 11, 17, 17, 14, 17, 14, 0, 4], 'y': [0, 0, 0, 11, 0, 0, 11, 0, 8, 10, 15, 16, 17, 17], 'min_makespan': 20, 'max_makespan': 25, 'makespan': 20}","{'paths': 0, 'flatBoolVars': 364, 'flatIntVars': 55, 'flatBoolConstraints': 91, 'flatIntConstraints': 395, 'evaluatedReifiedConstraints': 364, 'flatTime': 0.051000699999999996, 'nodes': 20, 'failures': 2, 'restarts': 1, 'variables': 3071, 'intVars': 94, 'boolVariables': 2975, 'propagators': 774, 'propagations': 3313, 'peakDepth': 17, 'nogoods': 2, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.005, 'initTime': 0.005, 'solveTime': 0.0, 'objective': 20, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.07,Chuffed,search
ins-14,"{'width': 21, 'n_circuits': 15, 'widths': [5, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3], 'heights': [15, 18, 11, 14, 10, 6, 9, 8, 6, 7, 6, 4, 5, 4, 3], 'x': [0, 5, 8, 12, 15, 0, 18, 18, 8, 12, 15, 8, 15, 18, 5], 'y': [0, 0, 0, 0, 0, 15, 0, 9, 11, 14, 10, 17, 16, 17, 18], 'min_makespan': 21, 'max_makespan': 26, 'makespan': 21}","{'paths': 0, 'flatBoolVars': 420, 'flatIntVars': 59, 'flatBoolConstraints': 105, 'flatIntConstraints': 453, 'evaluatedReifiedConstraints': 420, 'flatTime': 0.0524523, 'nodes': 202, 'failures': 176, 'restarts': 2, 'variables': 3449, 'intVars': 102, 'boolVariables': 3345, 'propagators': 889, 'propagations': 47710, 'peakDepth': 17, 'nogoods': 176, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.011, 'initTime': 0.006, 'solveTime': 0.005, 'objective': 21, 'optTime': 0.005, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.08,Chuffed,search
ins-15,"{'width': 22, 'n_circuits': 16, 'widths': [4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 4, 3], 'heights': [19, 22, 14, 13, 12, 11, 10, 9, 8, 4, 7, 6, 5, 4, 3, 3], 'x': [0, 4, 7, 10, 13, 16, 13, 10, 7, 16, 16, 19, 19, 19, 0, 19], 'y': [0, 0, 0, 0, 0, 0, 12, 13, 14, 11, 15, 0, 6, 15, 19, 19], 'min_makespan': 22, 'max_makespan': 27, 'makespan': 22}","{'paths': 0, 'flatBoolVars': 480, 'flatIntVars': 63, 'flatBoolConstraints': 120, 'flatIntConstraints': 515, 'evaluatedReifiedConstraints': 480, 'flatTime': 0.0531875, 'nodes': 20, 'failures': 0, 'restarts': 1, 'variables': 3858, 'intVars': 110, 'boolVariables': 3746, 'propagators': 1012, 'propagations': 4090, 'peakDepth': 19, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.007, 'initTime': 0.007, 'solveTime': 0.0, 'objective': 22, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.07,Chuffed,search
ins-16,"{'width': 23, 'n_circuits': 19, 'widths': [3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 6, 4, 3, 3, 4, 3], 'heights': [20, 12, 11, 14, 10, 12, 11, 10, 9, 8, 6, 7, 6, 3, 4, 5, 4, 3, 3], 'x': [0, 3, 3, 7, 10, 14, 14, 17, 7, 20, 10, 20, 17, 17, 10, 20, 17, 10, 0], 'y': [0, 0, 12, 0, 0, 0, 12, 0, 14, 0, 10, 8, 10, 20, 16, 15, 16, 20, 20], 'min_makespan': 23, 'max_makespan': 33, 'makespan': 23}","{'paths': 0, 'flatBoolVars': 684, 'flatIntVars': 75, 'flatBoolConstraints': 171, 'flatIntConstraints': 725, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.057836399999999996, 'nodes': 7449, 'failures': 6960, 'restarts': 25, 'variables': 5423, 'intVars': 126, 'boolVariables': 5295, 'propagators': 1429, 'propagations': 1601866, 'peakDepth': 23, 'nogoods': 6960, 'backjumps': 229, 'peakMem': 0.0, 'time': 0.249, 'initTime': 0.009000000000000001, 'solveTime': 0.24, 'objective': 23, 'optTime': 0.24, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.32,Chuffed,search
ins-17,"{'width': 24, 'n_circuits': 18, 'widths': [5, 3, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [16, 24, 18, 12, 14, 8, 12, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 5, 8, 11, 15, 0, 18, 15, 18, 21, 21, 11, 8, 11, 21, 21, 11, 18], 'y': [0, 0, 0, 0, 0, 16, 0, 14, 12, 0, 8, 12, 18, 17, 15, 20, 21, 21], 'min_makespan': 24, 'max_makespan': 35, 'makespan': 24}","{'paths': 0, 'flatBoolVars': 612, 'flatIntVars': 71, 'flatBoolConstraints': 153, 'flatIntConstraints': 651, 'evaluatedReifiedConstraints': 612, 'flatTime': 0.0564254, 'nodes': 798, 'failures': 732, 'restarts': 4, 'variables': 5341, 'intVars': 121, 'boolVariables': 5218, 'propagators': 1282, 'propagations': 173011, 'peakDepth': 21, 'nogoods': 732, 'backjumps': 16, 'peakMem': 0.0, 'time': 0.032, 'initTime': 0.009000000000000001, 'solveTime': 0.023, 'objective': 24, 'optTime': 0.023, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.1,Chuffed,search
ins-18,"{'width': 25, 'n_circuits': 19, 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 6, 3, 3, 3], 'heights': [25, 19, 18, 13, 17, 14, 13, 11, 10, 7, 9, 8, 7, 5, 6, 3, 5, 4, 3], 'x': [0, 3, 6, 9, 13, 16, 19, 16, 22, 6, 19, 13, 10, 9, 3, 19, 22, 22, 22], 'y': [0, 0, 0, 0, 0, 0, 0, 14, 0, 18, 13, 17, 18, 13, 19, 22, 10, 15, 19], 'min_makespan': 25, 'max_makespan': 30, 'makespan': 25}","{'paths': 0, 'flatBoolVars': 684, 'flatIntVars': 75, 'flatBoolConstraints': 171, 'flatIntConstraints': 725, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.057647699999999996, 'nodes': 315, 'failures': 274, 'restarts': 2, 'variables': 5177, 'intVars': 129, 'boolVariables': 5046, 'propagators': 1429, 'propagations': 101765, 'peakDepth': 24, 'nogoods': 274, 'backjumps': 6, 'peakMem': 0.0, 'time': 0.021, 'initTime': 0.009000000000000001, 'solveTime': 0.012, 'objective': 25, 'optTime': 0.012, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.09,Chuffed,search
