data_file,solution,stats,TOTAL_TIME,solver,model
ins-1,"{'width': 8, 'n_circuits': 4, 'widths': [5, 3, 5, 3], 'heights': [5, 5, 3, 3], 'x': [0, 5, 0, 5], 'y': [0, 0, 5, 5], 'min_makespan': 8, 'max_makespan': 8, 'makespan': 8}","{'paths': 0, 'flatBoolVars': 66, 'flatIntVars': 15, 'flatBoolConstraints': 28, 'flatIntConstraints': 65, 'evaluatedReifiedConstraints': 54, 'eliminatedImplications': 12, 'flatTime': 0.0460036, 'nodes': 8, 'failures': 2, 'restarts': 1, 'variables': 332, 'intVars': 34, 'boolVariables': 296, 'propagators': 136, 'propagations': 305, 'peakDepth': 5, 'nogoods': 2, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 8, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,symmetry
ins-10,"{'width': 17, 'n_circuits': 12, 'widths': [4, 7, 4, 3, 3, 3, 7, 3, 3, 3, 4, 3], 'heights': [14, 6, 8, 9, 8, 7, 3, 6, 5, 4, 3, 3], 'x': [3, 7, 10, 14, 14, 0, 7, 0, 7, 0, 3, 7], 'y': [0, 0, 9, 0, 9, 0, 6, 7, 9, 13, 14, 14], 'min_makespan': 17, 'max_makespan': 18, 'makespan': 17}","{'paths': 0, 'flatBoolVars': 484, 'flatIntVars': 47, 'flatBoolConstraints': 172, 'flatIntConstraints': 458, 'evaluatedReifiedConstraints': 430, 'eliminatedImplications': 44, 'flatTime': 0.0666079, 'nodes': 402, 'failures': 290, 'restarts': 2, 'variables': 2196, 'intVars': 80, 'boolVariables': 2114, 'propagators': 991, 'propagations': 96704, 'peakDepth': 29, 'nogoods': 290, 'backjumps': 56, 'peakMem': 0.0, 'time': 0.015, 'initTime': 0.005, 'solveTime': 0.01, 'objective': 17, 'optTime': 0.01, 'baseMem': 0.0, 'trailMem': 0.01, 'randomSeed': 666, 'nSolutions': 1}",0.09,Chuffed,symmetry
ins-11,"{'width': 18, 'n_circuits': 16, 'widths': [3, 3, 5, 5, 3, 4, 3, 4, 5, 3, 4, 3, 5, 3, 4, 3], 'heights': [11, 10, 6, 5, 8, 6, 7, 5, 4, 6, 4, 5, 3, 4, 3, 3], 'x': [3, 15, 10, 6, 15, 11, 3, 6, 6, 0, 6, 0, 10, 0, 11, 0], 'y': [0, 0, 9, 0, 10, 0, 11, 9, 5, 0, 14, 6, 15, 11, 6, 15], 'min_makespan': 18, 'max_makespan': 23, 'makespan': 18}","{'paths': 0, 'flatBoolVars': 834, 'flatIntVars': 63, 'flatBoolConstraints': 286, 'flatIntConstraints': 786, 'evaluatedReifiedConstraints': 750, 'eliminatedImplications': 60, 'flatTime': 0.0806263, 'nodes': 13210, 'failures': 11305, 'restarts': 6, 'variables': 3664, 'intVars': 104, 'boolVariables': 3558, 'propagators': 1709, 'propagations': 6561257, 'peakDepth': 84, 'nogoods': 11305, 'backjumps': 1564, 'peakMem': 0.0, 'time': 0.713, 'initTime': 0.009000000000000001, 'solveTime': 0.704, 'objective': 18, 'optTime': 0.7030000000000001, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.81,Chuffed,symmetry
ins-12,"{'width': 19, 'n_circuits': 14, 'widths': [3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3], 'heights': [19, 13, 11, 8, 10, 9, 8, 6, 7, 5, 6, 5, 4, 3], 'x': [6, 9, 3, 15, 0, 0, 3, 15, 12, 12, 9, 16, 12, 12], 'y': [0, 0, 0, 5, 0, 10, 11, 13, 5, 0, 13, 0, 12, 16], 'min_makespan': 19, 'max_makespan': 24, 'makespan': 19}","{'paths': 0, 'flatBoolVars': 751, 'flatIntVars': 55, 'flatBoolConstraints': 267, 'flatIntConstraints': 694, 'evaluatedReifiedConstraints': 662, 'eliminatedImplications': 52, 'flatTime': 0.075442, 'nodes': 2295, 'failures': 1597, 'restarts': 6, 'variables': 3342, 'intVars': 95, 'boolVariables': 3245, 'propagators': 1554, 'propagations': 809388, 'peakDepth': 63, 'nogoods': 1597, 'backjumps': 401, 'peakMem': 0.0, 'time': 0.08, 'initTime': 0.008, 'solveTime': 0.07200000000000001, 'objective': 19, 'optTime': 0.07200000000000001, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.17,Chuffed,symmetry
ins-13,"{'width': 20, 'n_circuits': 14, 'widths': [4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [17, 17, 11, 9, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [7, 17, 3, 3, 11, 0, 11, 14, 14, 0, 14, 0, 7, 17], 'y': [0, 0, 0, 11, 0, 0, 11, 0, 8, 10, 15, 16, 17, 17], 'min_makespan': 20, 'max_makespan': 25, 'makespan': 20}","{'paths': 0, 'flatBoolVars': 721, 'flatIntVars': 55, 'flatBoolConstraints': 255, 'flatIntConstraints': 670, 'evaluatedReifiedConstraints': 638, 'eliminatedImplications': 52, 'flatTime': 0.0755067, 'nodes': 9205, 'failures': 7074, 'restarts': 6, 'variables': 3414, 'intVars': 94, 'boolVariables': 3318, 'propagators': 1488, 'propagations': 2937180, 'peakDepth': 49, 'nogoods': 7074, 'backjumps': 1880, 'peakMem': 0.0, 'time': 0.308, 'initTime': 0.008, 'solveTime': 0.30000000000000004, 'objective': 20, 'optTime': 0.30000000000000004, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.4,Chuffed,symmetry
ins-14,"{'width': 21, 'n_circuits': 15, 'widths': [5, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3], 'heights': [15, 18, 11, 14, 10, 6, 9, 8, 6, 7, 6, 4, 5, 4, 3], 'x': [6, 14, 17, 11, 0, 6, 3, 3, 17, 11, 0, 17, 0, 3, 14], 'y': [0, 0, 0, 0, 0, 15, 0, 9, 11, 14, 10, 17, 16, 17, 18], 'min_makespan': 21, 'max_makespan': 26, 'makespan': 21}","{'paths': 0, 'flatBoolVars': 773, 'flatIntVars': 59, 'flatBoolConstraints': 269, 'flatIntConstraints': 724, 'evaluatedReifiedConstraints': 690, 'eliminatedImplications': 56, 'flatTime': 0.0783336, 'nodes': 488, 'failures': 146, 'restarts': 6, 'variables': 3788, 'intVars': 102, 'boolVariables': 3684, 'propagators': 1589, 'propagations': 102481, 'peakDepth': 53, 'nogoods': 146, 'backjumps': 79, 'peakMem': 0.0, 'time': 0.018000000000000002, 'initTime': 0.008, 'solveTime': 0.01, 'objective': 21, 'optTime': 0.01, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.11,Chuffed,symmetry
ins-15,"{'width': 22, 'n_circuits': 16, 'widths': [4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 4, 3], 'heights': [19, 22, 14, 13, 12, 11, 10, 9, 8, 4, 7, 6, 5, 4, 3, 3], 'x': [6, 13, 3, 19, 16, 0, 10, 10, 3, 16, 0, 16, 19, 0, 6, 10], 'y': [0, 0, 0, 0, 0, 0, 0, 10, 14, 18, 11, 12, 13, 18, 19, 19], 'min_makespan': 22, 'max_makespan': 27, 'makespan': 22}","{'paths': 0, 'flatBoolVars': 979, 'flatIntVars': 63, 'flatBoolConstraints': 344, 'flatIntConstraints': 902, 'evaluatedReifiedConstraints': 866, 'eliminatedImplications': 60, 'flatTime': 0.0851051, 'nodes': 7267, 'failures': 5892, 'restarts': 6, 'variables': 4341, 'intVars': 110, 'boolVariables': 4229, 'propagators': 2028, 'propagations': 2851206, 'peakDepth': 78, 'nogoods': 5892, 'backjumps': 1067, 'peakMem': 0.0, 'time': 0.276, 'initTime': 0.01, 'solveTime': 0.266, 'objective': 22, 'optTime': 0.266, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.38,Chuffed,symmetry
ins-16,"{'width': 23, 'n_circuits': 19, 'widths': [3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 6, 4, 3, 3, 4, 3], 'heights': [20, 12, 11, 14, 10, 12, 11, 10, 9, 8, 6, 7, 6, 3, 4, 5, 4, 3, 3], 'x': [6, 9, 9, 3, 13, 20, 20, 17, 0, 13, 16, 0, 3, 0, 16, 13, 0, 16, 6], 'y': [0, 0, 12, 3, 0, 0, 12, 0, 3, 10, 10, 12, 17, 0, 16, 18, 19, 20, 20], 'min_makespan': 23, 'max_makespan': 33, 'makespan': 23}","{'paths': 0, 'flatBoolVars': 1241, 'flatIntVars': 75, 'flatBoolConstraints': 423, 'flatIntConstraints': 1156, 'evaluatedReifiedConstraints': 1114, 'eliminatedImplications': 72, 'flatTime': 0.09741939999999999, 'nodes': 5417, 'failures': 3624, 'restarts': 11, 'variables': 5962, 'intVars': 126, 'boolVariables': 5834, 'propagators': 2557, 'propagations': 2986406, 'peakDepth': 95, 'nogoods': 3624, 'backjumps': 964, 'peakMem': 0.0, 'time': 0.281, 'initTime': 0.014, 'solveTime': 0.267, 'objective': 23, 'optTime': 0.266, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.4,Chuffed,symmetry
ins-17,"{'width': 24, 'n_circuits': 18, 'widths': [5, 3, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [16, 24, 18, 12, 14, 8, 12, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [9, 14, 6, 20, 17, 9, 3, 0, 0, 3, 21, 20, 6, 17, 0, 3, 17, 17], 'y': [0, 0, 0, 0, 0, 16, 0, 0, 10, 12, 17, 12, 18, 17, 19, 20, 21, 14], 'min_makespan': 24, 'max_makespan': 35, 'makespan': 24}","{'paths': 0, 'flatBoolVars': 1108, 'flatIntVars': 71, 'flatBoolConstraints': 379, 'flatIntConstraints': 1034, 'evaluatedReifiedConstraints': 994, 'eliminatedImplications': 68, 'flatTime': 0.0905955, 'nodes': 2536, 'failures': 930, 'restarts': 12, 'variables': 5819, 'intVars': 121, 'boolVariables': 5696, 'propagators': 2281, 'propagations': 648225, 'peakDepth': 120, 'nogoods': 930, 'backjumps': 715, 'peakMem': 0.0, 'time': 0.075, 'initTime': 0.012, 'solveTime': 0.063, 'objective': 24, 'optTime': 0.063, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.19,Chuffed,symmetry
ins-18,"{'width': 25, 'n_circuits': 19, 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 6, 3, 3, 3], 'heights': [25, 19, 18, 13, 17, 14, 13, 11, 10, 7, 9, 8, 7, 5, 6, 3, 5, 4, 3], 'x': [10, 19, 16, 0, 4, 13, 7, 13, 22, 0, 7, 22, 22, 0, 19, 4, 4, 16, 16], 'y': [0, 0, 0, 0, 0, 0, 0, 14, 0, 13, 13, 10, 18, 20, 19, 22, 17, 18, 22], 'min_makespan': 25, 'max_makespan': 30, 'makespan': 25}","{'paths': 0, 'flatBoolVars': 1356, 'flatIntVars': 75, 'flatBoolConstraints': 469, 'flatIntConstraints': 1248, 'evaluatedReifiedConstraints': 1206, 'eliminatedImplications': 72, 'flatTime': 0.0989596, 'nodes': 885, 'failures': 354, 'restarts': 6, 'variables': 5829, 'intVars': 129, 'boolVariables': 5698, 'propagators': 2810, 'propagations': 242202, 'peakDepth': 73, 'nogoods': 354, 'backjumps': 170, 'peakMem': 0.0, 'time': 0.039, 'initTime': 0.014, 'solveTime': 0.025, 'objective': 25, 'optTime': 0.025, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.16,Chuffed,symmetry
ins-19,"{'width': 26, 'n_circuits': 22, 'widths': [3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [19, 14, 17, 16, 15, 11, 14, 12, 11, 8, 10, 7, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [10, 19, 23, 16, 7, 0, 13, 13, 7, 19, 16, 0, 23, 4, 10, 0, 4, 19, 4, 4, 0, 4], 'y': [0, 0, 0, 0, 0, 0, 0, 14, 15, 14, 16, 11, 17, 0, 19, 18, 8, 22, 14, 19, 23, 23], 'min_makespan': 26, 'max_makespan': 37, 'makespan': 26}","{'paths': 0, 'flatBoolVars': 1719, 'flatIntVars': 87, 'flatBoolConstraints': 583, 'flatIntConstraints': 1590, 'evaluatedReifiedConstraints': 1542, 'eliminatedImplications': 84, 'flatTime': 0.11756899999999999, 'nodes': 115866, 'failures': 99639, 'restarts': 12, 'variables': 7890, 'intVars': 147, 'boolVariables': 7741, 'propagators': 3554, 'propagations': 95484387, 'peakDepth': 111, 'nogoods': 99639, 'backjumps': 15132, 'peakMem': 0.0, 'time': 11.386, 'initTime': 0.019, 'solveTime': 11.367, 'objective': 26, 'optTime': 11.352, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",11.54,Chuffed,symmetry
ins-2,"{'width': 9, 'n_circuits': 5, 'widths': [3, 3, 3, 3, 3], 'heights': [9, 6, 5, 4, 3], 'x': [0, 6, 3, 3, 6], 'y': [0, 0, 0, 5, 6], 'min_makespan': 9, 'max_makespan': 9, 'makespan': 9}","{'paths': 0, 'flatBoolVars': 117, 'flatIntVars': 17, 'flatBoolConstraints': 48, 'flatIntConstraints': 108, 'evaluatedReifiedConstraints': 97, 'eliminatedImplications': 16, 'flatTime': 0.0474372, 'nodes': 12, 'failures': 5, 'restarts': 1, 'variables': 481, 'intVars': 41, 'boolVariables': 438, 'propagators': 192, 'propagations': 714, 'peakDepth': 5, 'nogoods': 5, 'backjumps': 1, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 9, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.06,Chuffed,symmetry
ins-20,"{'width': 27, 'n_circuits': 21, 'widths': [4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [20, 19, 21, 20, 19, 14, 12, 11, 8, 10, 7, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [3, 7, 0, 20, 17, 23, 14, 14, 10, 11, 23, 11, 17, 23, 20, 0, 3, 7, 14, 3, 7], 'y': [0, 0, 0, 0, 0, 0, 0, 12, 19, 0, 14, 10, 19, 21, 20, 21, 20, 19, 23, 24, 24], 'min_makespan': 27, 'max_makespan': 33, 'makespan': 27}","{'paths': 0, 'flatBoolVars': 1529, 'flatIntVars': 83, 'flatBoolConstraints': 518, 'flatIntConstraints': 1420, 'evaluatedReifiedConstraints': 1374, 'eliminatedImplications': 80, 'flatTime': 0.108884, 'nodes': 232605, 'failures': 203403, 'restarts': 7, 'variables': 6943, 'intVars': 140, 'boolVariables': 6801, 'propagators': 3155, 'propagations': 130385615, 'peakDepth': 95, 'nogoods': 203403, 'backjumps': 28696, 'peakMem': 0.0, 'time': 18.478, 'initTime': 0.016, 'solveTime': 18.462, 'objective': 27, 'optTime': 18.454, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",18.62,Chuffed,symmetry
ins-21,"{'width': 28, 'n_circuits': 22, 'widths': [4, 3, 5, 3, 4, 3, 3, 5, 3, 4, 3, 5, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [23, 23, 13, 21, 13, 17, 16, 9, 11, 8, 10, 6, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [11, 18, 6, 21, 24, 15, 0, 6, 15, 24, 3, 3, 0, 3, 21, 11, 8, 24, 18, 3, 24, 0], 'y': [0, 0, 6, 0, 0, 0, 0, 19, 17, 13, 6, 0, 16, 16, 21, 23, 0, 21, 23, 24, 25, 25], 'min_makespan': 28, 'max_makespan': 39, 'makespan': 28}","{'paths': 0, 'flatBoolVars': 1574, 'flatIntVars': 87, 'flatBoolConstraints': 525, 'flatIntConstraints': 1474, 'evaluatedReifiedConstraints': 1426, 'eliminatedImplications': 84, 'flatTime': 0.112927, 'nodes': 60609, 'failures': 48894, 'restarts': 12, 'variables': 8075, 'intVars': 146, 'boolVariables': 7927, 'propagators': 3235, 'propagations': 38727387, 'peakDepth': 119, 'nogoods': 48894, 'backjumps': 10670, 'peakMem': 0.0, 'time': 4.168, 'initTime': 0.018000000000000002, 'solveTime': 4.15, 'objective': 28, 'optTime': 4.143, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",4.31,Chuffed,symmetry
